site name,latitude,longitude,number of nearby carwashes,distance from nearest carwash,rating of nearest carwash,user rating count for nearest carwash
"Blue Iguana Chestnut , 3316 W Chestnut Expy , Springfield , MO , 65802",37.211697,-93.345945,1,0.21 miles,3.8,201
"Blue Iguana East Kearney , 2118 E Kearney St , Springfield , MO , 65803",37.2393803,-93.2540651,3,0.10 miles,3.7,85
"Blue Iguana S. Campbell , 3155 S Campbell Ave , Springfield , MO , 65807",37.15703,-93.2966737,3,0.28 miles,4.8,168
"Blue Iguana South Fremont , 4304 S Fremont Ave , Springfield , MO , 65804",37.1353132,-93.2716546,1,0.30 miles,4.4,37
"Blue Iguana Sunshine , 1640 E Sunshine St , Springfield , MO , 65804",37.1810398,-93.2653512,3,0.53 miles,4.2,259
"Blue Iguana West Kearney , 1137 W Kearney St , Springfield , MO , 65803",37.241265,-93.304637,2,0.35 miles,4.5,64
"Blue Jay Car Wash , 2625 S McCall Rd , Englewood , FL , 34224",26.9341751,-82.3158497,0,N/A,N/A,N/A
"Blue Penguin Douglasville , 5897 Fairburn Rd , Douglasville , GA , 30134",33.7515279,-84.7264667,3,0.30 miles,4.8,6
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,3,0.08 miles,4.5,26
"Blue Penguin Marietta , 2204 Roswell Rd , Marietta , GA , 30062",33.970545,-84.4879308,4,0.11 miles,3.9,7
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,2,0.01 miles,4.2,33
"Blue Sky Englewood , 3718 S Broadway , Englewood , CO , 80113",39.6490375,-104.9874134,5,0.43 miles,3,35
"BlueWave Alamo , 1101 US-83 BUS , Alamo , TX , 78516",26.183442,-98.1236973,4,0.28 miles,4.7,321
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,2,0.32 miles,4.9,1995
"BlueWave Barker Cypress , 11720 Barker Cypress Rd , Cypress , TX , 77433",29.9455795,-95.6766007,3,0.48 miles,4.2,349
"BlueWave Beaumont , 3820 College St , Beaumont , TX , 77701",30.0688039,-94.1328835,5,0.29 miles,4.6,103
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,7,0.22 miles,4.1,51
"BlueWave Brownsville , 7115 S Padre Island Hwy , Brownsville , TX , 78521",25.9424539,-97.4307416,2,0.33 miles,3.8,89
"BlueWave Brownsville 2 , 2180 Ruben M Torres Blvd , Brownsville , TX , 78526",25.9502732,-97.4829166,5,0.24 miles,4,145
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,3,0.40 miles,3.1,31
"BlueWave Cinco Ranch , 24902 FM 1093 , Katy , TX , 77494",29.6986105,-95.8090925,5,0.36 miles,4,16
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,3,0.15 miles,4,16
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,1,0.67 miles,5,6
"BlueWave Edinburg 2 , 1382 W University Dr , Edinburg , TX , 78539",26.3027753,-98.1765981,2,0.58 miles,3.5,6
"BlueWave Eldridge , 1665 Eldridge Pkwy , Houston , TX , 77077",29.7525822,-95.6249393,0,N/A,N/A,N/A
"BlueWave FM2920 , 5907 FM 2920 Rd , Spring , TX , 77388",30.0737484,-95.5076692,6,0.31 miles,4.2,335
"BlueWave Fry , 20219 FM 529 , Cypress , TX , 77433",29.8792344,-95.7192126,4,0.37 miles,5,8
"BlueWave Groves , 5015 39th St , Groves , TX , 77619",29.9351716,-93.9299301,3,0.00 miles,5,2
"BlueWave Harlingen , 1924 W Tyler Ave , Harlingen , TX , 78550",26.1900138,-97.7165298,8,0.15 miles,5,2
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,3,0.29 miles,4.2,568
"BlueWave Jones , 9801 Jones Rd , Houston , TX , 77065",29.9159695,-95.5850468,2,0.40 miles,4.6,29
"BlueWave Katy , 25556 Kingsland Blvd , Katy , TX , 77494",29.7738414,-95.8177391,5,0.14 miles,3.2,28
"BlueWave Laredo , 10718 International Blvd , Laredo , TX , 78045",27.6110269,-99.4666327,3,0.21 miles,4.3,53
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,2,0.62 miles,4.1,1206
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,1,0.42 miles,4.6,1386
"BlueWave Long Point , 7964 Long Point RD , Houston , TX , 77055",29.8031949,-95.4864858,6,0.34 miles,4.1,394
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",30.2423772,-94.196705,4,0.10 miles,5,1
"BlueWave Magnolia , 33020 FM 2978 Rd , Magnolia , TX , 77354",30.2194446,-95.5673539,6,0.22 miles,4.7,1629
"BlueWave McAllen Nolana , 2701 W Nolana Ave , McAllen , TX , 78504",26.240406,-98.2441711,3,0.31 miles,4.5,93
"BlueWave McAllen Trenton , 700 W Trenton Rd , McAllen , TX , 78504",26.2681271,-98.2151657,2,0.89 miles,4.6,79
"BlueWave Mission , 506 N Shary Rd , Mission , TX , 78572",26.2057075,-98.2859757,8,0.28 miles,4.1,92
"BlueWave Monte Cristo , 301 W Monte Cristo Rd , Edinburg , TX , 78541",26.3379783,-98.1578674,1,0.58 miles,3.9,60
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",30.3886464,-95.6805365,2,0.53 miles,4.7,799
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",26.2440893,-98.4418103,1,0.50 miles,N/A,N/A
"BlueWave Pharr , 1115 S Jackson Rd , Pharr , TX , 78577",26.1853843,-98.2058309,5,0.23 miles,5,1189
"BlueWave Reading , 6622 Reading Rd , Rosenberg , TX , 77471",29.5430843,-95.7590754,3,0.49 miles,4.5,337
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",26.3442811,-98.7440723,0,N/A,N/A,N/A
"BlueWave San Antonio , 2558 SW Military Dr , San Antonio , TX , 78224",29.3559627,-98.5368881,8,0.25 miles,3.6,16
"BlueWave San Juan , 814 W Interstate Hwy 2 , San Juan , TX , 78589",26.2049707,-98.1635972,9,0.09 miles,4.6,111
"BlueWave San Rafael , 990 Francisco Blvd E , San Rafael , CA , 94901",37.9598522,-122.5044113,2,0.17 miles,4.1,154
"BlueWave Sienna , 10120 Hwy 6 , Missouri City , TX , 77459",29.5319561,-95.5125872,1,0.39 miles,4.8,16
"BlueWave Southmore , 902 Southmore Ave , Pasadena , TX , 77502",29.690393,-95.20241,6,0.14 miles,5,1
"BlueWave Spencer , 4119 Spencer Hwy , Pasadena , TX , 77502",29.665759,-95.1811608,6,0.25 miles,3.7,156
"BlueWave Sugar Pine , 2005 FM 1960 Rd W , Houston , TX , 77090",30.0090369,-95.4592408,6,0.24 miles,5,1
"BlueWave Weslaco , 1112 N Westgate Dr , Weslaco , TX , 78596",26.171674,-98.0063561,4,0.55 miles,3,6
"BlueWave Wesley , 1520 W Main St , League City , TX , 77573",29.504548,-95.1109436,2,0.66 miles,3.4,330
"Bobby's Car Wash , 13741 Johnson St NE , Ham Lake , MN , 55304",45.2200846,-93.2357698,0,N/A,N/A,N/A
"Brickyard Car Wash , 9020 Sage Ave , Naples , FL , 34120",26.2739438,-81.6831188,0,N/A,N/A,N/A
"Bridge St , 1703 Windrim Ave , Philadelphia , PA , 19141",40.0268654,-75.1518929,6,0.04 miles,4.1,257
"Bridge Street Lowell , 1150 Bridge St , Lowell , MA , 1850",42.663771,-71.3036608,0,N/A,N/A,N/A
"Broad and Lehigh , 2622 N Broad St , Philadelphia , PA , 19132",39.9930907,-75.1549505,3,0.61 miles,4,13
"Broad-Reed , 1400 S Broad St , Philadelphia , PA , 19146",39.9327644,-75.1683557,4,0.38 miles,4.4,351
"Brookhurst Express Car Wash , 14571 Brookhurst St , Westminster , CA , 92683",33.7510534,-117.9551563,2,0.00 miles,3.2,100
"Brooksville , 1175 S Broad St , Brooksville , FL , 34601",28.5423891,-82.4010096,2,0.29 miles,5,1
"Bryant - N Reynolds Rd , 2116 N Reynolds Rd , Bryant , AR , 72022",34.6140151,-92.4977299,2,0.56 miles,4.2,201
"Bubbas Express Car Wash , 1505 E Hammer Ln , Stockton , CA , 95210",38.0215179,-121.2943374,1,0.77 miles,4.3,102
"Bubble Bay , 1015 Main St , Brockton , MA , 2301",42.0652871,-71.0164648,1,0.80 miles,N/A,N/A
"Bubble Down Brandon , 2491 S Falkenburg Rd , Tampa , FL , 33619",27.9255475,-82.3389012,5,0.50 miles,N/A,N/A
"Bubble Down North Tampa , 15305 N Nebraska Ave , Tampa , FL , 33613",28.0907888,-82.4510846,3,0.50 miles,2.4,14
"Bubble Down Riverview , 10737 Big Bend Rd , Riverview , FL , 33579",27.791592,-82.330256,3,0.36 miles,4.8,35
"Bubble Down Wesley Chapel , 4149 New River Rd , Zephyrhills , FL , 33543",28.2179001,-82.2586385,4,0.04 miles,4.5,259
"Bubble Tunnel Car Wash , 6135 N Broad St , Philadelphia , PA , 19141",40.0469205,-75.1421593,4,0.09 miles,2.9,38
"Buena Vista , 2020 Buena Vista Dr SE , Albuquerque , NM , 87106",35.0588825,-106.6235994,3,0.09 miles,4.5,133
"Buff It #2 , 1699 Stick Ross Mountain Rd , Tahlequah , OK , 74464",35.8919067,-94.9858551,2,0.60 miles,4.5,190
"Buff It Auto Wash , 1408 E Wade Watts Ave , McAlester , OK , 74501",34.9237442,-95.751091,3,0.56 miles,4.8,464
"Buggy Bath , 2525 S Virginia St , Reno , NV , 89502",39.4999384,-119.8009103,5,0.43 miles,2.7,3
"Bulldog Car Wash , 2920 Atlanta Hwy , Athens , GA , 30606",33.9453994,-83.4395095,2,0.66 miles,4.2,14
"Burlington , 3155 E Agency St , Burlington , IA , 52601",40.8142028,-91.1381794,7,0.19 miles,3.8,80
"Buster's Car Wash , 2409 Route 9 , Malta , NY , 12020",42.9635835,-73.7908461,1,0.44 miles,3.6,156
"Bustleton Car Wash , 9915 Bustleton Ave , Philadelphia , PA , 19115",40.0977999,-75.0301515,4,0.02 miles,4,177
"CHAGRIN AUTO SPA , 8327 E Washington St , Chagrin Falls , OH , 44023",41.4140899,-81.344812,2,0.36 miles,3.3,12
"CLOSTER CAR WASH , 11 Endres St , Closter , NJ , 7624",40.9741385,-73.9592113,3,0.15 miles,5,22
"COLORADO AUTO WASH , 12110 W 64th Ave , Arvada , CO , 80004",39.8124217,-105.1342812,5,0.22 miles,3.3,8
"CR210 , 2015 County Rd 210 , Saint Johns , FL , 32259",30.0611894,-81.5065995,6,0.42 miles,5,1
"Cabot - Willie Ray Dr , 210 Willie Ray Dr , Cabot , AR , 72023",34.9816958,-92.0354003,3,0.02 miles,4.7,225
"Cadillac Express  Bingle Rd , 2005 Bingle Rd , Houston , TX , 77055",29.8086798,-95.5012896,5,0.56 miles,N/A,N/A
"Cadillac Express  Post Oak Rd , 12940 S Post Oak Rd , Houston , TX , 77045",29.6390261,-95.4639596,2,0.49 miles,3.9,69
"Cadillac Express 249 , 13450 Tomball Pkwy , Houston , TX , 77086",29.9174222,-95.4888017,6,0.00 miles,4.2,789
"Cadillac Express Cullen , 9520 Cullen Blvd , Houston , TX , 77051",29.6532748,-95.3559518,1,0.55 miles,4.6,31
"Cadillac Express Little York , 235 E Little York Rd , Houston , TX , 77076",29.8701351,-95.3957859,6,0.39 miles,3.9,90
