full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,nearby_businesses_count,business_names
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,Big Steve's $5 Car Wash,42.55114,-71.76380879999999,0,
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",40.0523949,-83.0503492,Buckeye Car Wash,40.052394899999996,-83.0503492,8,"White Castle, TJ Maurer, Realty Executives Decision, Scott A Hurt, Keller Williams Consultants -Keener Messer Group, Jill Beckett-Hill, REALTOR at Beckett Realty Group, Gabriela Durig, REALTOR at Beckett Realty Group, Hallie Abel, REALTOR at Beckett Realty Group, Beckett Realty Group, Brian Breeckner - Beckett Realty Group (Experience Matters)"
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",32.8214387,-117.1518383,LUV Car Wash,32.8214378,-117.15187679999998,2,"Hinotez, California's Largest Roofing Supply"
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",34.3494093,-84.050791,BamBoo Car Wash,34.3494093,-84.05079099999999,1,Valvoline Instant Oil Change
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",30.2220392,-81.5612917,LUV Car Wash,30.222044699999998,-81.5613266,0,
"Beach u0026 Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",30.2870332,-81.4500219,Gate Express Carwash,30.287013799999997,-81.45020079999999,0,
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",33.0875427,-117.2684842,Beach Bum Car Wash,33.0875427,-117.26848419999999,5,"Circle K, Carlsbad Fuel & Convenience, 76, El Camino Real & Circle K, Amazon Locker - Saro"
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,Bella Stone Car Wash,31.0378299,-97.3912928,0,
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",34.5891943,-92.5698083,Splash Car Wash & 10-Minute Oil Change,34.589106199999996,-92.56978509999999,0,
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",36.361368,-94.21604,Splash Car Wash,36.361368,-94.21603999999999,1,Culver’s
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",36.3357334,-94.2349041,Splash Car Wash,36.3355424,-94.2351736,0,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,LUV Car Wash,32.028541499999996,-81.222659,0,
"Big Danu0027s Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",34.0296049,-84.6478307,Big Dan's Car Wash,34.029933899999996,-84.6493327,0,
"Big Danu0027s Albany , 375 N Slappey Blvd , Albany , GA , 31701",31.5807782,-84.176539,Big Dan's Car Wash,31.5807659,-84.1766068,1,First Choice Title Pawn
"Big Danu0027s Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",27.4289973,-82.5762552,ERROR,ERROR,ERROR,ERROR,ERROR
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",27.4668065,-82.5638053,Big Dan's Car Wash,27.466797999999997,-82.56380039999999,0,
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",34.0130109,-81.0412645,Big Dan's Car Wash,34.01297350000001,-81.0413416,0,
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,Big Dan's Car Wash,28.8986687,-82.5859507,0,
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",28.0171106,-82.5055576,Big Dan's Car Wash,28.017110600000002,-82.5055576,4,"Buddy's, 168 Happy Feet Spa & Massage, Iglesia Bautista Nueva Esperanza, The Extraordinaire Touch"
"Big Danu0027s Decatur , 6024 Covington Hwy , Decatur , GA , 30035",33.72409,-84.171848,Big Dan's Car Wash,33.72409,-84.171848,0,
"Big Danu0027s Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,Big Dan's Car Wash,33.5396551,-84.57759899999999,0,
"Big Danu0027s Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,Big Dan's Car Wash,33.9017261,-84.7769062,0,
"Big Danu0027s John Young Pkwy , 12600 S John Young Pkwy , Orlando , FL , 32837",28.5429238,-81.4135987,Torquatto Detaling,28.5459961,-81.4122148,8,"ROYAL DRIVE AUTO SALE, Motor Country Auto Sales, Jetblack Auto Sales, JR CARS IMPORT LLC, Royal Drive Auto Sale, ZION MOTORSPORTS GROUP LLC, IRS Lien Settlement Service Office Orlando Department, Show Car Autosales"
"Big Danu0027s Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,Big Dan's Car Wash,28.9187894,-81.9229058,0,
"Big Danu0027s Lakewood Ranch , 10615 SR 64E , Bradenton , FL , 34212",27.4117037,-82.4285151,ERROR,ERROR,ERROR,ERROR,ERROR
"Big Danu0027s OBT , 6107 S Orange Blossom Trl , Orlando , FL , 32809",28.4685191,-81.3961588,Big Dan's Car Wash,28.468389,-81.3957642,0,
"Big Danu0027s Pinellas Park , 8201 US Hwy 19 N , Pinellas Park , FL , 33781",27.846899,-82.6884098,Big Dan's Car Wash,27.8469467,-82.68848450000002,1,John C Brendla & Associates Inc
"Big Danu0027s Rome , 18 Shorter Ave NW , Rome , GA , 30165",34.2623872,-85.1847893,Big Dan's Car Wash,34.2624436,-85.1847119,0,
"Big Danu0027s Tarpon Springs , 39522 US Hwy 19 N , Tarpon Springs , FL , 34689",28.0029467,-82.7294505,ERROR,ERROR,ERROR,ERROR,ERROR
"Big Danu0027s Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,Big Dan's Car Wash,34.5655579,-83.29792599999999,0,
"Big Danu0027s Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,Big Dan's Car Wash,34.1198494,-84.52051759999999,2,"Ridgewalk Bottle Shop, Valvoline Instant Oil Change"
"Big Danu0027s Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,Big Dan's Car Wash,34.086503,-84.466657,0,
"Big DanÃ¢â‚¬â„¢s Bradenton , 5225 24th St E , Bradenton , FL , 34203",27.448152,-82.5335489,Sud Stop Car Wash,27.4479001,-82.53353960000001,0,
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,Big Kahuna Car Wash,37.299364,-83.2012171,0,
"Big Peach Conyers , 1935 Hwy 138 SE , Conyers , GA , 30013",33.671567,-83.982096,Big Peach Car Wash,33.671566999999996,-83.982096,0,
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,33.0404585,-83.9400952,0,
"Big Peach Gray Hwy , 965 Gray Hwy , Macon , GA , 31211",32.8535469,-83.618337,Big Peach Car Wash,32.8535469,-83.61833700000001,2,"Arby's, Taco Bell"
"Big Peach Griffin , 1710 Zebulon Rd , Griffin , GA , 30224",33.1943204,-84.2838876,Big Peach Car Wash,33.194320399999995,-84.2838876,2,"Waffle House, Liquorgate"
"Big Peach Hardeman , 1820 Hardeman Ave , Macon , GA , 31201",32.8410142,-83.647132,Big Peach Car Wash & Express Oil Change,32.8410142,-83.647132,1,Big Peach Express Oil Change
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,Big Peach Car Wash,33.2947224,-83.9602247,2,"Taco Bell, World Finance"
"Big Peach Napier , 4461 Napier Ave , Macon , GA , 31210",32.8679688,-83.6981643,Big Peach Car Wash,32.86804370000001,-83.6982,0,
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,Big Peach Car Wash,33.436647199999996,-84.0385491,1,Great Clips
"Big Peach Tallahassee , 3738 N Monroe St , Tallahassee , FL , 32303",30.4993414,-84.3280511,Big Peach Car Wash,30.500119100000003,-84.32813879999999,0,
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,Big River Car Wash,32.4325392,-87.0249312,1,"GH Parts & Components, Inc."
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,Big River Car Wash,31.7801113,-85.949913,9,"Nail City, China Town, Coco Beauty Supply, Los Hermanos Mexican Restaurant, Troy Marketplace, Cricket Wireless Authorized Retailer, World Finance, It's Fashion, Paleteria San Juditas"
"Big Sammyu0027s Car Wash Maple Shade , 491 Route 38 W , Maple Shade Township , NJ , 8052",39.9427639,-74.9901153,Big Sammy's Car Wash,39.942625299999996,-74.99012119999999,0,
"Big Sammyu0027s Car Wash Marlton , 801 Rte 70 W , Evesham , NJ , 8053",39.8970491,-74.9414306,Big Sammy's Car Wash,39.896377199999996,-74.9416273,0,
"Blanding u0026 Hyde , 3510 Blanding Blvd , Jacksonville , FL , 32210",30.2717024,-81.7360349,Gate Express Carwash,30.271670099999998,-81.7358692,0,
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,LUV Car Wash,30.152217099999998,-81.7510047,1,Golden Corral Buffet & Grill
"Blast Car Wash , 2525 Horizon Rd , Rockwall , TX , 75032",32.8909047,-96.4692847,Blast Car Wash,32.8909047,-96.46928469999999,1,Hairitage Barber Stylist
"Blu Palm Express , 8403 S Tamiami Trail , Sarasota , FL , 34238",27.2290689,-82.4937818,Blu Palm Express Car Wash,27.229068899999998,-82.4937818,2,"Sarasota Sliding Glass Door's Repair / Installation, Hair by Rachel"
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,Blu Waye Express Wash,31.530170799999997,-83.8334232,1,A Lil Taste of New Orleans
"Bluu0027s Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,Blu's Car Wash,30.249126399999998,-94.1978149,0,
"BluWave Car Wash , 17001 Three Oaks Marketplace Dr , Fort Myers , FL , 33912",26.4935389,-81.804652,BluWave Car Wash,26.493538899999997,-81.80465199999999,0,
"Blue Cow Car Wash , 10 Commons Way , Kalispell , MT , 59901",48.219462,-114.3299388,Blue Cow Car Wash,48.219462,-114.3299388,4,"Northridge Heights Church God, Kali Digital Web Design, Taxed Right Consulting LLC, Sprouts Club Drop In Playcare LLC"
"Blue Diamond , 4620 Blue Diamond Rd , Las Vegas , NV , 89139",36.0347605,-115.2045513,LUV Car Wash,36.0347605,-115.20455129999998,1,Precision Armory
"Blue Iguana Chestnut , 3316 W Chestnut Expy , Springfield , MO , 65802",37.211697,-93.345945,Blue Iguana Car Wash,37.211697,-93.345945,0,
"Blue Iguana East Kearney , 2118 E Kearney St , Springfield , MO , 65803",37.2393803,-93.2540651,Blue Iguana Car Wash,37.2393803,-93.25406509999999,0,
"Blue Iguana S. Campbell , 3155 S Campbell Ave , Springfield , MO , 65807",37.15703,-93.2966737,Blue Iguana Car Wash,37.15703,-93.2966737,2,"Kuick Noodles, Healing Oriental Massage"
