full_site_address,Latitude,Longitude,car_wash_name,distance_from_original_location,car_wash_address,nearest_business_name_1,nearest_business_address_1,distance_car_wash_nearest_business_1,nearest_business_name_2,nearest_business_address_2,distance_car_wash_nearest_business_2,nearest_business_name_3,nearest_business_address_3,distance_car_wash_nearest_business_3,nearest_business_name_4,nearest_business_address_4,distance_car_wash_nearest_business_4,nearest_business_name_5,nearest_business_address_5,distance_car_wash_nearest_business_5,multiple_business_count
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",27.4668065,-82.5638053,Big Dan's Car Wash,0.0006596665314276826,"118 301 Blvd W, Bradenton, FL 34205, USA",4 Wheel Parts Bradenton - Off Road & 4X4 Parts For Trucks & Jeeps,"3626 1st St, Bradenton, FL 34208, USA",0.05219392157687308,Square Up Academy,"3619 3rd St W, Bradenton, FL 34205, USA",0.06831847113337496,West Marine,"3622 1st St, Bradenton, FL 34208, USA",0.07601241081273265,Hibachi Grill Supreme Buffet,"3616 1st St, Bradenton, FL 34208, USA",0.08178915483207128,Hungry Howie's Pizza & Subs,"103 US Hwy, 301 Blvd E, Bradenton, FL 34205, USA",0.0925153691505974,0
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",34.0130109,-81.0412645,Big Dan's Car Wash,0.005116287149487903,"1027 Elmwood Ave, Columbia, SC 29201, USA",U-Haul Moving & Storage at Elmwood,"1037 Elmwood Ave, Columbia, SC 29201, USA",0.05674047108166983,Self-Storage at U-Haul,"1037 Elmwood Ave, Columbia, SC 29201, USA",0.05746277415443072,Propane Exchange at U-Haul,"1037 Elmwood Ave, Columbia, SC 29201, USA",0.05746277415443072,Moving Supplies at U-Haul,"1037 Elmwood Ave, Columbia, SC 29201, USA",0.05746277415443072,Truck Sales at U-Haul,"1037 Elmwood Ave, Columbia, SC 29201, USA",0.05746277415443072,0
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,Big Dan's Car Wash,0.0011511129064536016,"517 NE 5th St, Crystal River, FL 34429, USA",Wawa,"505 NE US Hwy 19, Crystal River, FL 34429, USA",0.035729195392152226,PNC ATM,"505 NE US Hwy 19, Crystal River, FL 34429, USA",0.039851254123906464,Amerigas Propane Exchange,"505 NE US Hwy 19, Crystal River, FL 34429, USA",0.049196221383341385,Amerigas Propane Exchange,"327 NE US Hwy 19, Crystal River, FL 34429, USA",0.05830674107462492,CVS Pharmacy,"327 NE US Hwy 19, Crystal River, FL 34429, USA",0.06672550594013983,0
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",28.0171106,-82.5055576,Big Dan's Car Wash,2.197575454943035e-13,"7510 N Dale Mabry Hwy, Tampa, FL 33614, USA",Buddy's,"Egypt Lake-Leto, FL 33614, USA",0.008416020013543173,168 Happy Feet Spa & Massage,"7536 N Dale Mabry Hwy, Tampa, FL 33614, USA",0.028385015423871306,Iglesia Bautista Nueva Esperanza,"3809 W Broad St, Tampa, FL 33614, USA",0.02770005735838444,The Extraordinaire Touch,"7542 N Dale Mabry Hwy, Tampa, FL 33614, USA",0.03038749019805078,Naga smoke shop,"7540 N Dale Mabry Hwy, Tampa, FL 33614, USA",0.03207937405747333,0
"Big Danu0027s Decatur , 6024 Covington Hwy , Decatur , GA , 30035",33.72409,-84.171848,Big Dan's Car Wash,0.0,"6024 Covington Hwy, Decatur, GA 30035, USA",Extra Space Storage,"6018 Covington Hwy, Decatur, GA 30035, USA",0.034886885257764545,Spa Dental,"5992 Covington Hwy, Decatur, GA 30035, USA",0.04465488747440867,Spa Dental: Dr. Monica Jones,"5992 Covington Hwy, Decatur, GA 30035, USA",0.04465488747440867,Chevron,"5995 Covington Hwy, Decatur, GA 30035, USA",0.05117063062980021,Superior Chevrolet,"Covington Hwy, Decatur, GA 30035, USA",0.05435163173642397,0
"Big Danu0027s Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,Big Dan's Car Wash,0.001504405514888305,"7925 Senoia Rd, Fairburn, GA 30213, USA",Package Depot,"7897 Senoia Rd, Fairburn, GA 30213, USA",0.04049767073576245,Genuine Health Alliance LLC,"9302 Peachtree Landing Cir, Fairburn, GA 30213, USA",0.04827428457728621,L Green Intermodal Llc,"6103 Peachtree Landing Cir, Fairburn, GA 30213, USA",0.04827428457728621,Title Experts,"Fairburn, GA 30213, USA",0.05687057586085474,Extra Space Storage,"Fairburn, GA 30213, USA",0.05530913723588577,0
"Big Danu0027s Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,Big Dan's Car Wash,0.07308622648211573,"2856 Jimmy Lee Smith Pkwy, Hiram, GA 30141, USA",RaceTrac,"2850 Jimmy Lee Smith Pkwy, Hiram, GA 30141, USA",0.07080240181681219,Christian Brothers Automotive Hiram,"77 Bill Carruth Pkwy, Hiram, GA 30141, USA",0.08394337651288883,Angela Lumsden Maximum One Greater Atlanta Realtors,"Highland Pavilion Ct, Hiram, GA 30141, USA",0.12792050607034725,"Afua Akhi-Gbade, MD","176 Charles Hardy Pkwy Unit C, Hiram, GA 30141, USA",0.1447897868653024,"Tangela Atkinson, MD","176 Charles Hardy Pkwy Unit C, Hiram, GA 30141, USA",0.1447897868653024,0
"Big Danu0027s John Young Pkwy , 12600 S John Young Pkwy , Orlando , FL , 32837",28.5429238,-81.4135987,Torquatto Detaling,0.2282920592674386,"2699 Old Winter Garden Rd, Orlando, FL 32805, USA",ROYAL DRIVE AUTO SALE,"2699 Old Winter Garden Rd, Orlando, FL 32805, USA",0.017380149769185376,Motor Country Auto Sales,"2727-2743 Old Winter Garden Rd, Orlando, FL 32805, USA",0.02028403176899575,Jetblack Auto Sales,"2699 Old Winter Garden Rd Suite A, Orlando, FL 32805, USA",0.021224987358624086,JR CARS IMPORT LLC,"2699 Old Winter Garden Rd Suite A, Orlando, FL 32805, USA",0.021520601020591803,Royal Drive Auto Sale,"2699 Old Winter Garden Rd Suite E, Orlando, FL 32805, USA",0.02323411294685421,1
"Big Danu0027s Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,Big Dan's Car Wash,0.0006982695321539834,"135 US-441, Lady Lake, FL 32159, USA",Mobil,"201 US-441, Lady Lake, FL 32159, USA",0.03562842682949575,LX10017 U.S 441 & Guava,"Lady Lake, FL 32159, USA",0.03815918002964241,Taquería Santa Lucía,"201 US-441, Lady Lake, FL 32159, USA",0.03857134556314655,Linvinci Hair Salon,"115 W Guava St, Lady Lake, FL 32159, USA",0.043277655272573545,Advance Auto Parts,"129 N Highway, Lady Lake, FL 32159, USA",0.044147757579670766,0
"Big Danu0027s Lakewood Ranch , 10615 SR 64E , Bradenton , FL , 34212",27.4117037,-82.4285151,,,,,,,,,,,,,,,,,,,0
"Big Danu0027s OBT , 6107 S Orange Blossom Trl , Orlando , FL , 32809",28.4685191,-81.3961588,Big Dan's Car Wash,0.0255979499661689,"6115 S Orange Blossom Trail, Orlando, FL 32809, USA",Hotel Bel-Air Orlando near Florida Mall,"6119 S Orange Blossom Trl, Orlando, FL 32809, USA",0.03163672136132366,Central Park Self Storage,"6135 S Orange Blossom Trl, Orlando, FL 32809, USA",0.03793351637107393,Gully Urban Indian Eatery,"1155 Doss Ave, Orlando, FL 32809, USA",0.05053485293637797,Rivaz Jewelers,"1137 Doss Ave #1, Orlando, FL 32809, USA",0.054213921072850654,Diva Royale,"1185 Doss Ave, Orlando, FL 32809, USA",0.055753829863189344,0
"Big Danu0027s Pinellas Park , 8201 US Hwy 19 N , Pinellas Park , FL , 33781",27.846899,-82.6884098,Big Dan's Car Wash,0.00562930140420254,"8201 US Hwy 19 N, Pinellas Park, FL 33781, USA",John C Brendla & Associates Inc,"4015 82nd Ave N, Pinellas Park, FL 33781, USA",0.02262667847672668,The Blend Coffee & Cocktails,"8199 US Hwy 19 N, Pinellas Park, FL 33781, USA",0.051754952988780925,OKCarz Pinellas Park,"8190 US Hwy 19 N, Pinellas Park, FL 33781, USA",0.07680605350911793,Starr Law Offices,"8181 US Hwy 19 N, Pinellas Park, FL 33781, USA",0.0829666629546076,Enterprise Truck Rental,"8391 US Hwy 19 N, Pinellas Park, FL 33781, USA",0.09556741773708766,0
"Big Danu0027s Rome , 18 Shorter Ave NW , Rome , GA , 30165",34.2623872,-85.1847893,Big Dan's Car Wash,0.005892451372648833,"18 Shorter Ave, Rome, GA 30165, USA",Dunkin',"12 Shorter Ave NW, Rome, GA 30165, USA",0.03881370594660651,Southern Creative Group,"931 N 2nd Ave NW Suite B, Rome, GA 30165, USA",0.04159861390603536,bp,"12 Shorter Ave NW, Rome, GA 30165, USA",0.04556345504259895,Jim 'N Nick's Bar-B-Q,"36 Shorter Ave NW, Rome, GA 30165, USA",0.04862397844369006,Groover's Shoe Shop,"931 N 2nd Ave NW, Rome, GA 30165, USA",0.04941737912294473,0
"Big Danu0027s Tarpon Springs , 39522 US Hwy 19 N , Tarpon Springs , FL , 34689",28.0029467,-82.7294505,,,,,,,,,,,,,,,,,,,0
"Big Danu0027s Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,Big Dan's Car Wash,0.002731255367397622,"2421 Big A Rd, Toccoa, GA 30577, USA",Smith's Furniture,"2445 Hwy 17, Toccoa, GA 30577, USA",0.035549325891974064,Ebenezer Preschool Ministries,"1100 Big A Rd, Toccoa, GA 30577, USA",0.07031652302314684,Fueling Station,"Georgia 30577, USA",0.0715637636096227,Edward Jones - Financial Advisor: David V Plaisted,"2454 GA 17Alt, Toccoa, GA 30577, USA",0.0780738842245492,Edward Jones - Financial Advisor: Hunter J Plaisted,"2454 GA 17Alt, Toccoa, GA 30577, USA",0.07828105984067889,0
