full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,rating,rating_count,business_status,monday_operational_hours,tuesday_operational_hours,wednesday_operational_hours,thursday_operational_hours,friday_operational_hours,saturday_operational_hours,sunday_operational_hours
"Splash Hopper Express , 863 Western Bypass , Andalusia , AL , 36420",31.2980899,-86.499031,Splash Hopper Express Wash,31.2980899,-86.499031,4.6,308,OPERATIONAL,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:30 PM,8:00 AM – 7:00 PM
"Splash N Foam , 705 Fannin St , George West , TX , 78022",28.3306261,-98.1165219,Splash 'N' Foam Car Wash,28.3306261,-98.1165219,4.9,15,OPERATIONAL,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,Closed
"Splash Ormond , 55 N Nova Rd , Ormond Beach , FL , 32174",29.2798712,-81.0821448,Splash Express Full Service Car Wash,29.279868300000004,-81.0821273,4.9,451,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Stephenville , 2623 W Washington St , Stephenville , TX , 76401",32.2068568,-98.2328337,Clean Car Wash,32.2068568,-98.2328337,4.8,149,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM
"Stevens Creek Xpress , 3655 Stevens Creek Blvd , Santa Clara , CA , 95051",37.3237879,-121.9648411,Stevens Creek Xpress Car Wash,37.3237879,-121.9648411,4.3,361,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Strang , 11230 Strang Line Rd , Lenexa , KS , 66215",38.9245344,-94.755209,Speedy Car Wash - Strang Line,38.9245386,-94.7551959,4.2,295,OPERATIONAL,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM
"Sud Stop Bradenton , 5225 24th St E , Bradenton , FL , 34203",27.4479001,-82.5335396,Sud Stop Car Wash,27.4479001,-82.53353960000001,4.7,523,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Bucket Wash , 615 landmark Point Blvd. Suite B , Gray , GA , 31032",32.9897907,-83.5691835,Suds Bucket Car Wash,32.9897907,-83.5691835,4.6,66,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM
"Suds Deluxe Commerce , 4627 W Commerce St , San Antonio , TX , 78237",29.4309076,-98.5527459,Suds Deluxe Car Wash,29.4309076,-98.55274589999999,4.8,522,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe Georgetown , 2991 FM 1460 , Georgetown , TX , 78626",30.5890976,-97.6571684,Suds Deluxe Car Wash,30.5890976,-97.65716839999999,4.6,576,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe Highway 6 , 8400 Highway 6 S , Houston , TX , 77083",29.6893278,-95.6442954,Suds Deluxe Car Wash,29.689327799999997,-95.64429539999999,4.4,261,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe Kyle , 18810 IH 35 , Kyle , TX , 78640",30.0342462,-97.847338,Suds Deluxe Car Wash,30.0342462,-97.847338,4.5,1052,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
