full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,25,0.07194858218241633,0.2148822072708029,0.2237967067008518,0.31848274527843423,0.3747224474615775,0.39796422318943453,0.4725732803546078,0.5092755339112616,0.5609623806360576,0.567865170034847
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",29.57502,-98.5669201,34,0.07356106954953782,0.19242600608948457,0.5064309715766374,0.9054214865161256,0.9266496777283746,1.0194142632399819,1.06040380912876,1.106917311613181,1.170949396301526,1.2678232624845203
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,41,0.0781457420727537,0.1376922045977067,0.22598071665844935,0.2909561145972266,0.4518911202993455,0.6040183161314411,0.7273967718753362,0.7319850078584779,0.804427735237367,0.8819266331085988
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,31,0.16627828610919868,0.7148979547872181,0.9491034250278589,0.9773086006386194,1.0101407472015727,1.0342938407707563,1.0427807591134097,1.1053109973866853,1.1762238565973604,1.2047466354575325
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",29.5147542,-98.5357639,69,0.06716974138414795,0.1246005795576121,0.19387898568528766,0.24794777774383137,0.29157768778683635,0.45445001408634833,0.48109938676568814,0.5235607863557109,0.5913910414212284,0.5961718952130498
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,23,0.0273429979217603,0.12482673294773619,0.2745557698244178,0.538180296380108,0.6248455405155672,0.6444197714943717,0.645681496234233,0.7296438077698707,0.7464203545757103,0.959381402285533
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,25,0.06841340890585362,0.09701460777766042,0.1615280577059503,0.18883524148199507,0.23112284201447186,0.2873938980103521,0.3023160254990064,0.30296048865441216,0.450300628698048,0.4587977033101607
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,16,0.05779558934243945,0.39568189990934116,0.4148700088110945,0.44027828466611624,0.467569278630493,0.6105762197539649,0.6550927234741605,0.8610904919392268,0.8845487650997202,1.13571434334458
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,31,0.11178756227929888,0.2336127629702375,0.4687905502156075,0.5248403950222501,0.6270272411767527,0.6775861851530812,0.6805016950360528,0.7519708928819584,0.7534438455357396,0.7712877328754388
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,68,0.041186743159237045,0.20856501885886491,0.22497592484295958,0.2821337756443926,0.3291898901741213,0.4328031370773538,0.5195870500462347,0.5387712024659884,0.6247070816423655,0.6344285128469843
