original_name_address,original_latitude,original_longitude,found_car_wash_name,satellite_image_name,feets_per_pixel,tunnel_length_pixels,tunnel_length_feets,
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,ChIJBWLZ-KBz9IgR6ERsUPLI6q4.jpg,0.410592468519517,362,148.634473604065,
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,Big Peach Car Wash,ChIJGU7zMslB9IgRyU_Gsrn9CWw.jpg,0.409403311424533,298,122.002186804511,
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,Big Peach Car Wash,ChIJ5TKDw3FF9IgR3aluKQFd5V8.jpg,0.408736041064641,350,143.057614372624,
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,Big River Car Wash,ChIJmYizWMoFj4gRf2LT5z_FFmE.jpg,0.413402801472039,not found,#VALUE!,
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,Big River Car Wash,ChIJ_f0OJp3tjYgR9jBuVasy7Xw.jpg,0.416367108886749,not found,#VALUE!,
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,LUV Car Wash,ChIJs6cp_73F5YgRfbE8-5Rw3pA.jpg,0.423527224440476,not found,#VALUE!,
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,Blu Waye Express Wash,ChIJEfbbhxoJ8ogRJLt847YUDZI.jpg,0.41748843207514,356,148.62588181875,
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,Blu's Car Wash,ChIJtTL77nAxOYYRmOiC9aGMzoI.jpg,0.423110493628639,381,161.205098072511,
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,Blue Penguin Car Wash,ChIJdUxT9fSL9IgRd08AS0-CtWo.jpg,0.409501424659615,348,142.506495781546,
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,Blue Rhino Carwash & Emmissions,ChIJ09AyR2RH9YgRokaKm3REGUI.jpg,0.405851971023215,300,121.755591306965,
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,BlueWave Express Car Wash,ChIJwQ4V-tmPQIYRE0U8iTuf0OM.jpg,0.426629097398466,293,125.002325537751,
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,BlueWave Express Car Wash,ChIJNZ3r1LKNX4YRuplFwiWmcRM.jpg,0.429630865480712,190,81.6298644413353,
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,BlueWave Express Car Wash,ChIJJQu0GreTXIYRU8H-BT4AZ_U.jpg,0.425994542936748,190,80.9389631579821,
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,BlueWave Express Car Wash,ChIJdRuM1843R4YR7W-CSUstqc8.jpg,0.423282464032008,240,101.587791367682,
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,BlueWave Express Car Wash,ChIJw0RroPHr9YYRh2LPtYrUT3M.jpg,0.426766007178858,186,79.3784773352676,
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,BlueWave Express Car Wash,ChIJT24VnMOxQIYR9ULjCkYfdIY.jpg,0.424454570830889,190,80.6463684578689,
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,BlueWave Express Car Wash,ChIJOzRZm_KCQIYRrgqHMidNn70.jpg,0.426439421982333,230,98.0810670559366,
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,BlueWave Express Car Wash,ChIJtdbskKKHOIYRyWYq_YGiEqg.jpg,0.421078667679742,241,101.479958910818,
