Company Name,Headquarters,Established Date,Site Count,Financial Sponsor,States,Website,,,,,,,,,,,,,,,,,,,
Gate Express Car Wash,Florida,2017,17,None,Florida,https://gateexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Zax Auto Wash,Michigan,2015,17,None,Michigan,https://zaxautowash.com/,,,,,,,,,,,,,,,,,,,
Haffner's,Massachusetts,1995,16,None,Massachusetts | New Hampshire,https://haffners.com/,,,,,,,,,,,,,,,,,,,
Rainforest Carwash & Oil Change,Louisiana,1993,16,None,Louisiana | Mississippi,https://rainforestclean.com/,,,,,,,,,,,,,,,,,,,
Shammy Shine Car Washes,New Jersey,1976,16,None,New Jersey | Pennsylvania,https://www.shammyshine.com/,,,,,,,,,,,,,,,,,,,
Car Spa,Texas,1999,15,None,Florida | Georgia | Texas | Virginia,https://carspa.net/,,,,,,,,,,,,,,,,,,,
Mach-1 Express Wash,Alabama,2018,15,None,Alabama | Georgia | North Carolina | Pennsylvania | Ohio | Delaware | New Jersey | Michigan,https://www.mach1expresswash.com/,,,,,,,,,,,,,,,,,,,
Ridi Stores,,,15,None,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Car Wash,Montana,2001,15,None,Wyoming | Montana,https://rockymountaincarwash.com/,,,,,,,,,,,,,,,,,,,
Breeze Thru Car Wash,Colorado,2007,14,None,Colorado | Wyoming,https://breezethrucarwash.com/,,,,,,,,,,,,,,,,,,,
Carriage House Car Wash,Ohio,2019,14,Tire Discounters,Ohio | Indiana,https://carriagehousecarwash.com/,,,,,,,,,,,,,,,,,,,
EDGE Express Car Wash,North Carolina,2020,14,None,North Carolina | South Carolina | Virginia,https://www.edgeexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Metro Express Car Wash,Idaho,1969,14,None,Idaho | Montana | Washington | Colorado | California | Missouri | Arizona | Kansas,https://www.metroexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Pelican Pointe Car Wash,Louisiana,,14,None,Louisiana,https://www.pelicanpointecarwash.com/,,,,,,,,,,,,,,,,,,,
The Auto Spa,Maryland,1987,14,None,Maryland | Pennsylvania,https://www.washluberepair.com/,,,,,,,,,,,,,,,,,,,
Valet Auto Wash,New Jersey,1994,14,None,New Jersey | New York | Pennsylvania,https://valetwash.com/,,,,,,,,,,,,,,,,,,,
All American Car Wash,Texas,1997,13,"Racer Classic Investments, LLC",Texas | Oklahoma,https://www.allamericancarwash.biz/,,,,,,,,,,,,,,,,,,,
Charlie�s Car Wash,Kansas,1981,13,None,Missouri | Kansas | Oklahoma,https://charlies.com/,,,,,,,,,,,,,,,,,,,
