original_address,competitors_count,competitor_1_distance_miles,competitor_1_google_rating,competitor_1_google_user_rating_count,competitor_2_distance_miles,competitor_2_google_rating,competitor_2_google_user_rating_count,competitor_3_distance_miles,competitor_3_google_rating,competitor_3_google_user_rating_count,competitor_4_distance_miles,competitor_4_google_rating,competitor_4_google_user_rating_count,competitor_5_distance_miles,competitor_5_google_rating,competitor_5_google_user_rating_count,competitor_6_distance_miles,competitor_6_google_rating,competitor_6_google_user_rating_count
"BlueWave Cinco Ranch , 24902 FM 1093 , Katy , TX , 77494",4,0.356343174752987,4,16,0.383838184002631,3.2,26,0.480890912218937,2,2,0.484065603053408,3,6,,,,,,
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",1,0.146413845398382,4,16,,,,,,,,,,,,,,,
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",0,,,,,,,,,,,,,,,,,,
"BlueWave Edinburg 2 , 1382 W University Dr , Edinburg , TX , 78539",1,0.64702702345606,4.4,162,,,,,,,,,,,,,,,
"BlueWave Eldridge , 1665 Eldridge Pkwy , Houston , TX , 77077",0,,,,,,,,,,,,,,,,,,
"BlueWave FM2920 , 5907 FM 2920 Rd , Spring , TX , 77388",5,0.308291164176992,4.2,335,0.397673404113448,4.2,48,0.473989866828442,4,41,0.76401092343326,4.8,2428,0.95335598736871,4.4,346,,,
"BlueWave Fry , 20219 FM 529 , Cypress , TX , 77433",0,,,,,,,,,,,,,,,,,,
"BlueWave Groves , 5015 39th St , Groves , TX , 77619",3,0.00239255413599509,5,2,0.337514262639283,4.6,669,0.845059132688981,,,,,,,,,,,
"BlueWave Harlingen , 1924 W Tyler Ave , Harlingen , TX , 78550",4,0.145807033789256,5,2,0.170979037819141,3.4,30,0.532727911026108,4.9,2097,0.545527937099696,4.9,427,,,,,,
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",2,0.414920397336329,4.7,3,0.976172565734829,2.3,15,,,,,,,,,,,,
"BlueWave Jones , 9801 Jones Rd , Houston , TX , 77065",0,,,,,,,,,,,,,,,,,,
"BlueWave Katy , 25556 Kingsland Blvd , Katy , TX , 77494",1,0.135782131528647,3.2,28,,,,,,,,,,,,,,,
"BlueWave Laredo , 10718 International Blvd , Laredo , TX , 78045",2,0.210950790366558,4.3,53,0.520674311123491,4,2,,,,,,,,,,,,
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",1,0.880060501049452,3.6,539,,,,,,,,,,,,,,,
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",1,0.415254745848175,4.6,1387,,,,,,,,,,,,,,,
"BlueWave Long Point , 7964 Long Point RD , Houston , TX , 77055",2,0.343376812714377,4.1,397,0.965069316495037,4.7,306,,,,,,,,,,,,
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",2,0.101454641445119,5,1,0.471012075124632,4.6,140,,,,,,,,,,,,
"BlueWave Magnolia , 33020 FM 2978 Rd , Magnolia , TX , 77354",5,0.220622886940297,4.7,1632,0.3984419975247,1,2,0.694344795955858,4.5,32,0.843125958120794,4.3,38,0.89610624353418,4.9,596,,,
"BlueWave McAllen Nolana , 2701 W Nolana Ave , McAllen , TX , 78504",2,0.312088024185796,4.5,94,0.792891682751869,4.8,72,,,,,,,,,,,,
"BlueWave McAllen Trenton , 700 W Trenton Rd , McAllen , TX , 78504",2,0.761895078438853,,,0.888552853406153,4.6,80,,,,,,,,,,,,
"BlueWave Mission , 506 N Shary Rd , Mission , TX , 78572",2,0.277429945609859,4.1,93,0.402563301854865,4.9,2335,,,,,,,,,,,,
"BlueWave Monte Cristo , 301 W Monte Cristo Rd , Edinburg , TX , 78541",1,0.579782795854618,3.9,60,,,,,,,,,,,,,,,
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",1,0.529428719050152,4.7,800,,,,,,,,,,,,,,,
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",0,,,,,,,,,,,,,,,,,,
"BlueWave Pharr , 1115 S Jackson Rd , Pharr , TX , 78577",3,0.226254072655181,5,1199,0.364770416472556,4.2,67,0.80931630487008,4.6,595,,,,,,,,,
"BlueWave Reading , 6622 Reading Rd , Rosenberg , TX , 77471",0,,,,,,,,,,,,,,,,,,
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",0,,,,,,,,,,,,,,,,,,
"BlueWave San Antonio , 2558 SW Military Dr , San Antonio , TX , 78224",3,0.281887292765688,3.8,36,0.611760662326853,,,0.850929669039576,,,,,,,,,,,
"BlueWave San Juan , 814 W Interstate Hwy 2 , San Juan , TX , 78589",4,0.0981174227600373,4.7,3,0.239708739962192,4.7,13,0.256191447606734,4.9,2248,0.835246177096035,3.9,23,,,,,,
"BlueWave San Rafael , 990 Francisco Blvd E , San Rafael , CA , 94901",0,,,,,,,,,,,,,,,,,,
"BlueWave Sienna , 10120 Hwy 6 , Missouri City , TX , 77459",1,0.388551532618753,4.3,18,,,,,,,,,,,,,,,
"BlueWave Southmore , 902 Southmore Ave , Pasadena , TX , 77502",2,0.144411579527485,5,1,0.915804521241746,4.2,5,,,,,,,,,,,,
"BlueWave Spencer , 4119 Spencer Hwy , Pasadena , TX , 77502",1,0.756819329325992,4.5,398,,,,,,,,,,,,,,,
"BlueWave Sugar Pine , 2005 FM 1960 Rd W , Houston , TX , 77090",2,0.948650703023971,4.5,221,0.948891511486635,4.4,228,,,,,,,,,,,,
"BlueWave Weslaco , 1112 N Westgate Dr , Weslaco , TX , 78596",2,0.672835923185943,3.6,30,0.995078226118898,4.3,46,,,,,,,,,,,,
"BlueWave Wesley , 1520 W Main St , League City , TX , 77573",1,0.929809897391049,5,2,,,,,,,,,,,,,,,
"Bobbyu0027s Car Wash , 13741 Johnson St NE , Ham Lake , MN , 55304",0,,,,,,,,,,,,,,,,,,
"Brickyard Car Wash , 9020 Sage Ave , Naples , FL , 34120",0,,,,,,,,,,,,,,,,,,
"Bridge St , 1703 Windrim Ave , Philadelphia , PA , 19141",0,,,,,,,,,,,,,,,,,,
"Bridge Street Lowell , 1150 Bridge St , Lowell , MA , 1850",0,,,,,,,,,,,,,,,,,,
