full_site_address,Latitude,Longitude,cars_washed,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,93312,13.0,0.095299582985138,0.2035274983484165,0.2724607456230046,0.4885208068341185,0.5324112785749442,0.6214891092428061,0.6670787528831408,0.6942036178992904,0.749648609056716,0.763232755721515
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,67530,2.0,0.3742746728324199,0.8207889895666324,,,,,,,,
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,18310,4.0,0.1791659541521089,0.3021857004531086,0.4358948069871666,0.5704288337246081,,,,,,
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,88522,8.0,0.1769361611100515,0.2360013208033021,0.2948165893727182,0.4955331796577772,0.6576921008375932,0.6630653672153465,0.7948026344741236,0.9918683223553488,,
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,57968,3.0,0.3474428623814716,0.3656439732018668,0.646277254727813,,,,,,,
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,15973,9.0,0.0740400576518085,0.1805296707829879,0.2097603624830008,0.2277875883426911,0.2641158139361086,0.4521712448473483,0.6817646607557118,0.7670743595687751,0.9701426269261856,
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,37668,5.0,0.2665166996801345,0.5950991986418254,0.7148463357211069,0.7878135673778384,0.904021458606432,,,,,
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",30.2423772,-94.196705,44680,5.0,0.0490908117075103,0.2458395168675506,0.6859768364686117,0.7934829059485153,0.9530929713478192,,,,,
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",30.3886464,-95.6805365,19782,2.0,0.2670882811269264,0.9556453218476624,,,,,,,,
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",26.2440893,-98.4418103,80189,3.0,0.081430980275565,0.2627526978092845,0.5481598315619408,,,,,,,
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",26.3442811,-98.7440723,37616,0.0,,,,,,,,,,
"Bryant - N Reynolds Rd , 2116 N Reynolds Rd , Bryant , AR , 72022",34.6140151,-92.4977299,36135,3.0,0.2076859515835792,0.476789604059368,0.7361077525927965,,,,,,,
"Buff It #2 , 1699 Stick Ross Mountain Rd , Tahlequah , OK , 74464",35.8919067,-94.9858551,47405,6.0,0.0412123969422393,0.4941478999917122,0.5677613376737157,0.8007171435254913,0.870583546876197,0.9871212769947362,,,,
"Buff It Auto Wash , 1408 E Wade Watts Ave , McAlester , OK , 74501",34.9237442,-95.751091,77420,6.0,0.3111744328853261,0.4351235987201555,0.4352515811700245,0.7244314475289053,0.757972723417901,0.9856645312304572,,,,
"Bulldog Car Wash , 2920 Atlanta Hwy , Athens , GA , 30606",33.9453994,-83.4395095,27575,8.0,0.0954057265668043,0.1422289721419308,0.4731534574622849,0.5636344043984648,0.6657416863604396,0.7252974708008937,0.8067031778993816,0.9570887270512914,,
"Burlington , 3155 E Agency St , Burlington , IA , 52601",40.8142028,-91.1381794,80011,13.0,0.0454743311729478,0.1668439231199177,0.2081363684462265,0.2864167775048693,0.3172113236456132,0.3422062368027222,0.4187869818420736,0.4778468568122788,0.6176207572530208,0.6685041505935116
"Buster's Car Wash , 2409 Route 9 , Malta , NY , 12020",42.9635835,-73.7908461,3483,,,,,,,,,,,
"CHAGRIN AUTO SPA , 8327 E Washington St , Chagrin Falls , OH , 44023",41.4140899,-81.344812,38522,0.0,,,,,,,,,,
"Cabot - Willie Ray Dr , 210 Willie Ray Dr , Cabot , AR , 72023",34.9816958,-92.0354003,124856,1.0,0.145383054861298,,,,,,,,,
"Cajun Clean , 2240 Denny Ave , Pascagoula , MS , 39567",30.3703765,-88.5403641,118424,15.0,0.1060741147073309,0.1905483957295078,0.3948428970773264,0.4867172741296163,0.4893234336667488,0.4950105253404304,0.5111726686567095,0.5903611417936016,0.6063353548468949,0.6547737144340167
"Cajun Clean Gautier , 2235 US-90 , Gautier , MS , 39553",30.3903613,-88.6456867,92165,5.0,0.041223884510833,0.3751268248852011,0.5375473432843967,0.7679156541155088,0.8252628711900003,,,,,
"Calhoun , 460 Hwy 53 , Calhoun , GA , 30701",34.4761289,-84.9279642,106706,9.0,0.0454061471813672,0.1839382700686495,0.329168872384962,0.4497213523353368,0.4760570761116116,0.5484237510489947,0.6676487351505228,0.7038494906829972,0.8694656656473339,
"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",28.83717,-82.3558067,211181,6.0,0.191413043925553,0.6749553915516816,0.718200517141319,0.7561394094260414,0.8036144029735649,0.929039909211112,,,,
"Canon City , 3110 E Main St , Canon City , CO , 81212",38.4465114,-105.1920275,99507,4.0,0.0264483703666738,0.4760213426488151,0.7987514824976942,0.8097479857993558,,,,,,
"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",44.3818768,-100.3122439,56568,3.0,0.1124030701850014,0.322237609456562,0.3781470334350212,,,,,,,
"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",30.8937579,-102.9062363,45555,2.0,0.5006117008244145,0.8317919963929096,,,,,,,,
"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",32.9118499,-96.4511337,119520,10.0,0.0976151244418626,0.1628228627236583,0.2228598653187136,0.3331376321444121,0.369814769787155,0.5462517920474044,0.8137158562995527,0.8758150617296723,0.902670599332558,0.940925642659704
"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",34.2071766,-84.8163398,95753,4.0,0.140023225492945,0.1637243197378323,0.7743382810873984,0.9789447989514538,,,,,,
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,55645,12.0,0.1139513182474952,0.2950374353385167,0.5430541711072898,0.5524612513023538,0.6216876194366691,0.659763751693153,0.686090194503246,0.712617105501823,0.8278594754569576,0.8433305522030169
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,59361,6.0,0.1688059826394855,0.5448404690542754,0.598516134469878,0.6178365827265284,0.8213208837070055,0.9699186010602748,,,,
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,75787,3.0,0.0644371182402602,0.1104119272465915,0.9877489660796726,,,,,,,
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,52791,6.0,0.0796439628077233,0.1446386470855198,0.5486583592342588,0.5496261181662718,0.6650938725808753,0.930484567498352,,,,
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,58818,5.0,0.1677607832160886,0.3217426266490512,0.3750929116620417,0.5118638389780139,0.8712095078068033,,,,,
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,52795,3.0,0.288684067049783,0.5703944912956088,0.7075441284734373,,,,,,,
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,21433,8.0,0.0722193794806734,0.1141277170471901,0.1704630420127775,0.2915227119383641,0.5227665066082812,0.5240379431297801,0.7067962968745447,0.8296023342175508,,
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,89164,8.0,0.0446022777342438,0.347335476018725,0.4010138954479505,0.4537213682802544,0.6784962569525351,0.7086995068196117,0.8108060670888203,0.9384302056980168,,
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,32534,1.0,0.750871849156993,,,,,,,,,
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,11100,2.0,0.1858545678142263,0.7953558581918524,,,,,,,,
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,115267,12.0,0.0749288351122144,0.2423985913954369,0.3456541695030641,0.4032861207318398,0.49458523248171,0.5804352854256847,0.6625166991871336,0.6855229458051718,0.7731938819491635,0.8250197541645357
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,76367,13.0,0.1023277529454181,0.3090369466893059,0.3737030265760435,0.3740389734179883,0.6400319103082197,0.6858748355932407,0.7262651726334177,0.7291914271447852,0.8095352148611044,0.8996749445102821
