full_site_address,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",11,0.0608565459447826,0.681284149676056,0.846065547952134,1.37817079782754,1.42490537458266,1.53628117655281,1.64798025847615,1.74535128947373,1.83714836462822,1.88932212772206
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",2,1.15662944963807,1.16711729291899,,,,,,,,
"Big Danu0027s Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",16,0.118056209828321,0.515950394708785,0.528840684979413,0.615915470827117,0.684635243766023,1.1978610298778,1.38260818582011,1.39606051007711,1.46340908538927,1.56037477895295
"Big Danu0027s Albany , 375 N Slappey Blvd , Albany , GA , 31701",51,0.0515629463162826,0.0763653489785963,0.273357933693862,0.369192312841679,0.416188201109964,0.484531735829155,0.511305834313108,0.591160086232237,0.637868623809366,0.652554343102394
"Big Danu0027s Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",19,0.161726295105961,0.407007559188662,0.438756783639319,0.555832011811474,0.737511090230142,0.783834646674197,1.05528690757191,1.23487604874969,1.29240411713703,1.30499487635879
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",51,0.0841188023968534,0.0843776214308263,0.256850576217157,0.36256713213526,0.412118849482639,0.457195176961307,0.474745548097048,0.546272043733485,0.668763397636454,0.708029016065405
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",142,0.0358402032813322,0.0786613337157518,0.119284864765167,0.131538223278686,0.174893746792684,0.226754221895334,0.227820923822361,0.260949485524758,0.262518200042917,0.322750761388666
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",10,0.0428725819645423,0.191297196616046,0.434405880976376,0.457264190462525,0.845072127354066,0.957939648138298,1.05325481174258,1.13904289457041,1.23687772860127,1.62862677360342
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",46,0.184642908049953,0.571307335422754,0.641894997741595,0.65678141212328,0.684135915744858,0.74489604100527,0.827840779112007,0.836994724792857,0.849937323739088,0.873375157820388
"Big Danu0027s Decatur , 6024 Covington Hwy , Decatur , GA , 30035",31,0.288656651951414,0.511678988790435,0.562126213505769,0.730389747208652,0.754237552532366,0.836311587236579,0.872620790697157,0.890901018688001,1.02131811469424,1.02279308349364
"Big Danu0027s Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",11,0.0307788653660286,0.195010890851109,0.250135998211849,0.356913540500392,0.503445534511049,0.784715173180938,0.805177789701038,1.8267156491281,1.85200408489763,1.89979847488277
"Big Danu0027s Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",17,0.0490235084726541,0.281794408256603,0.374575779522427,0.501495972844517,0.696989678219495,1.11006744655195,1.20177818849411,1.36046100820911,1.37218942068197,1.51573300332066
"Big Danu0027s John Young Pkwy , 12600 S John Young Pkwy , Orlando , FL , 32837",111,0.00375895886201553,0.0630147819823159,0.196786894926529,0.199702944658038,0.376758977989099,0.49516315362047,0.495455738724819,0.497277198556358,0.528550913541905,0.579840286540614
"Big Danu0027s Lady Lake , 135 US-441 , Lady Lake , FL , 32159",11,0.0740806796364631,0.359685239475183,0.734811671963919,0.750506871207461,0.862892757257867,0.926788446915627,0.98907748095161,1.14661303752041,1.3535269201855,1.37340687193554
"Big Danu0027s Lakewood Ranch , 10615 SR 64E , Bradenton , FL , 34212",15,0.315473816358841,0.656048305361152,1.06360510288891,1.33091136522658,1.37109583747531,1.40553152499514,1.56784674144515,1.66720881203984,1.7181935784015,1.7601341308633
"Big Danu0027s OBT , 6107 S Orange Blossom Trl , Orlando , FL , 32809",43,0.025861542976724,0.229078292465218,0.28061212356448,0.375273938852805,0.396292179718264,0.535578556382161,0.60846440695822,0.753664537971242,0.775001534590261,0.895526638717651
"Big Danu0027s Pinellas Park , 8201 US Hwy 19 N , Pinellas Park , FL , 33781",29,0.155054324668702,0.525814905115013,0.561564388161792,0.566245525358231,0.673780256576717,0.708726180520743,0.725432453107019,0.746278870770664,0.758723836594094,0.873087890177913
"Big Danu0027s Rome , 18 Shorter Ave NW , Rome , GA , 30165",56,0.154244198416077,0.195136588564485,0.255392469809866,0.272098014858921,0.383953453031568,0.428711186307673,0.446891742672877,0.501405602148017,0.510926937410671,0.62035134756771
"Big Danu0027s Tarpon Springs , 39522 US Hwy 19 N , Tarpon Springs , FL , 34689",43,0.524020816329641,0.807212613465987,0.822842013621749,0.849824022393307,0.85228730404429,0.86130431249307,0.864015501421636,0.869550071163763,0.876721240338973,0.898741300415861
"Big Danu0027s Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",7,0.0390357559604646,0.519958111806594,0.83637548377809,0.933820624047092,1.21076406935952,1.91830661065702,1.99662843537291,,,
"Big Danu0027s Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",27,0.0417614885501715,0.182411853850621,0.341576760540153,0.456014790158534,1.25594128832832,1.26086241779772,1.3120915959987,1.31408673817751,1.39365606088287,1.40500780128291
"Big Danu0027s Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",14,0.0495510546881607,0.284153037616415,0.29682310004511,0.718856670708842,0.88876998935127,0.911601724868894,1.01307423205506,1.0178613445022,1.30684439275333,1.35394503120204
"Big DanÃ¢â‚¬â„¢s Bradenton , 5225 24th St E , Bradenton , FL , 34203",25,0.0561575468405457,0.169114621020966,0.192278347179503,0.269430117824652,0.440267168831393,0.719139305428051,0.805618178097281,0.833996633445535,0.881965567988764,0.955392357740913
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",8,0.0908241434998861,0.766416083438578,1.29883041334356,1.33901915775416,1.38823952593024,1.5999953464617,1.71407183763857,1.85202417738124,,
"Big Peach Conyers , 1935 Hwy 138 SE , Conyers , GA , 30013",13,0.0416984463461011,0.297379590153435,0.595849173517153,0.993407365771071,0.995959328325879,1.30482641167467,1.33735621702979,1.42586779284086,1.65942368183298,1.67791081073754
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",6,0.0676540145226123,0.105584287039116,0.383804089420977,0.392210887349244,0.435009774279826,0.443643854175705,,,,
"Big Peach Gray Hwy , 965 Gray Hwy , Macon , GA , 31211",65,0.216452648902095,0.382668039274497,0.391184334036468,0.415100223259025,0.435241177227403,0.461629953357705,0.48816440607423,0.518644232300192,0.561992264872885,0.571595840675019
"Big Peach Griffin , 1710 Zebulon Rd , Griffin , GA , 30224",1,0.125294331223784,,,,,,,,,
"Big Peach Hardeman , 1820 Hardeman Ave , Macon , GA , 31201",88,0.0292026109133297,0.0625849706635312,0.0949114095295449,0.106315683204803,0.179020575526947,0.306571435080165,0.325688489435253,0.402775188808796,0.490978252701528,0.512031816547565
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",9,0.0843639312849878,0.361485109100662,0.362442604071926,0.366912341918378,0.384576998267071,0.412634858272239,0.414036965830191,0.433612674911175,0.571877791183751,
